SK_ID_CURR,TARGET
100001,0.01796737
100005,0.09397737
100013,0.01730614
100028,0.01159398
100038,0.09766437
100042,0.02230102
100057,0.00991359
100065,0.02471710
100066,0.00422140
100067,0.03113369
100074,0.07340485
100090,0.03266850
100091,0.11286606
100092,0.04142746
100106,0.03166858
100107,0.17472394
100109,0.04734290
100117,0.01777385
100128,0.03387040
100141,0.01911344
100150,0.00584000
100168,0.00157861
100169,0.04244127
100170,0.05612208
100171,0.05498774
100172,0.05370113
100184,0.08419733
100187,0.05386886
100212,0.08387205
100222,0.03132138
100223,0.00726983
100232,0.01165247
100241,0.28418574
100245,0.01316550
100253,0.01087880
100256,0.05820630
100271,0.00360791
100278,0.28464216
100280,0.00531842
100306,0.17784861
100311,0.13161233
100312,0.01334004
100330,0.14741355
100331,0.03141863
100352,0.06926189
100358,0.05187163
100367,0.00977742
100382,0.12324348
100384,0.05896724
100385,0.08270322
100386,0.04254022
100399,0.01552419
100404,0.07871616
100416,0.01010404
100422,0.07036167
100426,0.01128486
100438,0.02188762
100444,0.11846784
100445,0.19157061
100446,0.02578237
100447,0.01314351
100450,0.04337819
100466,0.01438754
100483,0.01463413
100484,0.01670937
100494,0.04199287
100510,0.10099654
100512,0.02083589
100517,0.02367821
100548,0.02485589
100551,0.03310794
100552,0.03498765
100553,0.03061574
100561,0.08346760
100568,0.51248103
100569,0.02620698
100591,0.04855277
100592,0.01409857
100602,0.05140188
100607,0.03992645
100613,0.06616824
100617,0.10948231
100618,0.08684707
100622,0.01856547
100625,0.07901653
100677,0.13901053
100699,0.03123674
100702,0.47519115
100711,0.05822738
100729,0.08733727
100740,0.21667439
100744,0.20446205
100745,0.02202335
100747,0.06895038
100751,0.22848327
100752,0.02820966
100753,0.15402806
100754,0.17093047
100760,0.03987611
100762,0.04330996
100763,0.05289412
100765,0.00789340
100770,0.02064727
100772,0.01129986
100777,0.01789600
100791,0.00807158
100792,0.00687621
100797,0.01589675
100823,0.01810261
100826,0.01337577
100830,0.01465443
